building_category,building_code,purpose,kwh_m2
apartment_block,PRE_TEK49,cooling,0.0
hotel,PRE_TEK49,heating_dhw,29.78416666666667
hotel,PRE_TEK49,fans_and_pumps,56.79125
hotel,PRE_TEK49,electrical_equipment,5.84
hotel,PRE_TEK49,cooling,27.5625
school,PRE_TEK49,fans_and_pumps,37.48291666666667
school,PRE_TEK49,heating_dhw,9.804166666666667
school,PRE_TEK49,heating_rv,136.1863403761602
nursing_home,PRE_TEK49,electrical_equipment,23.36
sports,PRE_TEK49,cooling,0.0
sports,PRE_TEK49,electrical_equipment,2.58
sports,PRE_TEK49,fans_and_pumps,33.8434375
sports,PRE_TEK49,heating_dhw,49.02
sports,PRE_TEK49,heating_rv,184.3206466780654
hospital,PRE_TEK49,heating_rv,155.6385640232319
hospital,PRE_TEK49,heating_dhw,29.76944444444445
hospital,PRE_TEK49,fans_and_pumps,85.42416666666666
hospital,PRE_TEK49,electrical_equipment,46.72
hospital,PRE_TEK49,cooling,40.49416666666666
storage_repairs,PRE_TEK49,cooling,18.90083333333333
storage_repairs,PRE_TEK49,electrical_equipment,23.49
storage_repairs,PRE_TEK49,fans_and_pumps,35.855
hotel,PRE_TEK49,heating_rv,163.9124000569943
school,PRE_TEK49,electrical_equipment,12.9
school,PRE_TEK49,cooling,0.0
retail,PRE_TEK49,heating_rv,131.9547321283182
nursing_home,PRE_TEK49,fans_and_pumps,72.5875
nursing_home,PRE_TEK49,heating_dhw,29.78416666666667
nursing_home,PRE_TEK49,heating_rv,161.3164309558707
kindergarten,PRE_TEK49,heating_rv,170.3831314118222
kindergarten,PRE_TEK49,heating_dhw,10.02333333333333
kindergarten,PRE_TEK49,fans_and_pumps,33.95666666666667
kindergarten,PRE_TEK49,electrical_equipment,5.22
kindergarten,PRE_TEK49,cooling,0.0
office,PRE_TEK49,cooling,20.10416666666667
office,PRE_TEK49,electrical_equipment,34.45833333333334
storage_repairs,PRE_TEK49,heating_dhw,10.0225
office,PRE_TEK49,fans_and_pumps,35.26027777777778
office,PRE_TEK49,heating_rv,105.7921063344735
house,PRE_TEK49,heating_rv,155.2907120175867
house,PRE_TEK49,heating_dhw,29.78125
house,PRE_TEK49,fans_and_pumps,0.58125
house,PRE_TEK49,electrical_equipment,17.51875
house,PRE_TEK49,cooling,0.0
retail,PRE_TEK49,cooling,38.99
retail,PRE_TEK49,electrical_equipment,3.743888888888889
retail,PRE_TEK49,fans_and_pumps,66.66472222222222
retail,PRE_TEK49,heating_dhw,10.48333333333333
office,PRE_TEK49,heating_dhw,5.011111111111111
storage_repairs,PRE_TEK49,heating_rv,181.590147777235
