building_category,TEK,area
apartment_block,PRE_TEK49,11444245
apartment_block,TEK49,7133096
apartment_block,TEK69,4310185
apartment_block,TEK87,4385626
apartment_block,TEK97,8114649
house,PRE_TEK49,51689459
house,TEK49,40111752
house,TEK69,43221866
house,TEK87,22707481
house,TEK97,19497955
kindergarten,PRE_TEK49,131242
kindergarten,TEK49,126124
kindergarten,TEK69,495410
kindergarten,TEK87,237483
kindergarten,TEK97,218507
kindergarten,TEK07,66472
school,PRE_TEK49,1261756
school,TEK49,4485473
school,TEK69,4533828
school,TEK87,1541686
school,TEK97,1568526
school,TEK07,493397
university,PRE_TEK49,188772
university,TEK49,652386
university,TEK69,1013218
university,TEK87,283599
university,TEK97,228589
university,TEK07,73678
office,PRE_TEK49,4777359
office,TEK49,7655078
office,TEK69,9246796
office,TEK87,3311744
office,TEK97,1473274
office,TEK07,305444
retail,PRE_TEK49,2350025
retail,TEK49,8121547
retail,TEK69,12613542
retail,TEK87,3530526
retail,TEK97,2845696
retail,TEK07,917221
hotel,PRE_TEK49,524798
hotel,TEK49,1505590
hotel,TEK69,2306123
hotel,TEK87,668612
hotel,TEK97,542294
hotel,TEK07,167100
hospital,PRE_TEK49,846114
hospital,TEK49,1085198
hospital,TEK69,1184907
hospital,TEK87,644138
hospital,TEK97,754440
hospital,TEK07,238202
nursing_home,PRE_TEK49,222958
nursing_home,TEK49,638790
nursing_home,TEK69,1697486
nursing_home,TEK87,924669
nursing_home,TEK97,1288154
nursing_home,TEK07,443540
culture,PRE_TEK49,1341269
culture,TEK49,483156
culture,TEK69,555517
culture,TEK87,269785
culture,TEK97,193441
culture,TEK07,56170
sports,PRE_TEK49,43349
sports,TEK49,409763
sports,TEK69,1201106
sports,TEK87,352607
sports,TEK97,241690
sports,TEK07,74808
storage_repairs,PRE_TEK49,3929584
storage_repairs,TEK49,5521722
storage_repairs,TEK69,12452370
storage_repairs,TEK87,5016909
storage_repairs,TEK97,1992111
storage_repairs,TEK07,415787
