building_category,TEK,Oppvarmingstyper,tek_share,Ekstralast andel,Grunnlast andel,Spisslast andel,Grunnlast virkningsgrad,Spisslast virkningsgrad,Ekstralast virkningsgrad,Tappevann virkningsgrad,Spesifikt elforbruk,Kjoling virkningsgrad
retail,PRE_TEK49,Electricity,0.0759389851497087,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
sports,PRE_TEK49,Electricity,0.0883851554663991,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
storage_repairs,PRE_TEK49,Electricity,0.0702168076906398,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
apartment_block,PRE_TEK49,Electricity,0.0844035895330412,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
hotel,PRE_TEK49,Electricity,0.0632732273160777,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
office,PRE_TEK49,Electricity,0.0655149814612597,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
apartment_block,PRE_TEK49,Electricity,0.303719268067331,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
nursing_home,PRE_TEK49,Electricity,0.2740002995357196,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
school,PRE_TEK49,Electricity,0.4440622730664933,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
culture,PRE_TEK49,Electricity,0.3656475903950756,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
hospital,PRE_TEK49,Electricity,0.0718806092983987,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
kindergarten,PRE_TEK49,Electricity,0.6711079745942131,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
university,PRE_TEK49,Electricity,0.2391366651774801,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
house,PRE_TEK49,Electricity,0.0400012144214653,0.0,1.0,0.0,1.0,1.0,1,0.98,1,4
kindergarten,PRE_TEK49,Electricity - Bio,0.0723218066337332,0.15,0.7,0.15,1.0,0.65,1,0.98,1,4
nursing_home,PRE_TEK49,Electricity - Bio,0.0282172008387,0.15,0.7,0.15,1.0,0.65,1,0.98,1,4
