building_category,TEK,heating_systems,year,TEK_shares
house,PRE_TEK49,DH,2023,0.021331511
house,PRE_TEK49,DH - Bio,2023,0.007658007
house,PRE_TEK49,Electric boiler,2023,0.013050006
house,PRE_TEK49,Electric boiler - Solar,2023,0.000300859
house,PRE_TEK49,Electricity,2023,0.052198491
house,PRE_TEK49,Electricity - Bio,2023,0.224732638
house,PRE_TEK49,Gas,2023,0.008896826
house,PRE_TEK49,HP - Bio - Electricity,2023,0.564990879
house,PRE_TEK49,HP - Electricity,2023,0.099294732
house,PRE_TEK49,HP Central heating - Electric boiler,2023,0.00381529
house,PRE_TEK49,HP Central heating - Gas,2023,0.003730761
house,TEK07,DH,2023,0.021331511
house,TEK07,DH - Bio,2023,0.007658007
house,TEK07,Electric boiler,2023,0.013050006
house,TEK07,Electric boiler - Solar,2023,0.000300859
house,TEK07,Electricity,2023,0.052198491
house,TEK07,Electricity - Bio,2023,0.224732638
house,TEK07,Gas,2023,0.008896826
house,TEK07,HP - Bio - Electricity,2023,0.564990879
house,TEK07,HP - Electricity,2023,0.099294732
house,TEK07,HP Central heating - Electric boiler,2023,0.00381529
house,TEK07,HP Central heating - Gas,2023,0.003730761
house,TEK10,DH,2023,0.021331511
house,TEK10,DH - Bio,2023,0.007658007
house,TEK10,Electric boiler,2023,0.013050006
house,TEK10,Electric boiler - Solar,2023,0.000300859
house,TEK10,Electricity,2023,0.052198491
house,TEK10,Electricity - Bio,2023,0.224732638
house,TEK10,Gas,2023,0.008896826
house,TEK10,HP - Bio - Electricity,2023,0.564990879
house,TEK10,HP - Electricity,2023,0.099294732
house,TEK10,HP Central heating - Electric boiler,2023,0.00381529
house,TEK10,HP Central heating - Gas,2023,0.003730761
house,TEK17,DH,2023,0.021331511
house,TEK17,DH - Bio,2023,0.007658007
house,TEK17,Electric boiler,2023,0.013050006
house,TEK17,Electric boiler - Solar,2023,0.000300859
house,TEK17,Electricity,2023,0.052198491
house,TEK17,Electricity - Bio,2023,0.224732638
house,TEK17,Gas,2023,0.008896826
house,TEK17,HP - Bio - Electricity,2023,0.564990879
house,TEK17,HP - Electricity,2023,0.099294732
house,TEK17,HP Central heating - Gas,2023,0.003730761
house,TEK49,DH,2023,0.021331511
house,TEK49,DH - Bio,2023,0.007658007
house,TEK49,Electric boiler,2023,0.013050006
house,TEK49,Electric boiler - Solar,2023,0.000300859
house,TEK49,Electricity,2023,0.052198491
house,TEK49,Electricity - Bio,2023,0.224732638
house,TEK49,Gas,2023,0.008896826
house,TEK49,HP - Bio - Electricity,2023,0.564990879
house,TEK49,HP - Electricity,2023,0.099294732
house,TEK49,HP Central heating - Electric boiler,2023,0.00381529
house,TEK49,HP Central heating - Gas,2023,0.003730761
