"year","population"
2001, 4503436
2002, 4524066
2003, 4552252
2004, 4577457
2005, 4606363
2006, 4640219
2007, 4681134
2008, 4737171
2009, 4799252
2010, 4858199
2011, 4920305
2012, 4985870
2013, 5051275
2014, 5109056
2015, 5165802
2016, 5213985
2017, 5258317
2018, 5295619
2019, 5328212
2020, 5367580
2021, 5391369
2022, 5425270
2023, 5488984
2024, 5550203
2025, 5600121
2026, 5638838
2027, 5666689
2028, 5694657
2029, 5722427
2030, 5749712
2031, 5776723
2032, 5803284
2033, 5829350
2034, 5855072
2035, 5880318
2036, 5905184
2037, 5928866
2038, 5951491
2039, 5973100
2040, 5993766
2041, 6013501
2042, 6032325
2043, 6050194
2044, 6067121
2045, 6083032
2046, 6097893
2047, 6111684
2048, 6124356
2049, 6135899
2050, 6146321
