building_category,to,from,factor
house,Electric boiler,Electricity,1
house,DH,Electricity - Bio,0.45
house,Electricity,HP - Bio - Electricity,0.9
house,Electricity,HP - Electricity,1
house,Gas,HP - Electricity,1
house,Electricity - Bio,Electricity,0.81
house,Electricity - Bio,HP - Electricity,0.75
house,HP - Bio - Electricity,Electricity - Bio,0.95
house,DH - Bio,Electricity,1
house,HP - Bio - Electricity,Electricity,0.98
house,HP - Electricity,Electricity,1
house,HP Central heating - Bio,Electric boiler,1
house,HP Central heating - Electric boiler,Electric boiler,0.5
house,HP Central heating - Gas,Electric boiler,1
house,Electric boiler - Solar,Electric boiler,1
apartment_block,Electric boiler,HP Central heating - Electric boiler,0.4
apartment_block,DH,Electricity,0.75
apartment_block,DH,Electric boiler,0.7
apartment_block,Electricity,Electricity - Bio,0.75
apartment_block,Gas,Electricity,1
apartment_block,Electricity - Bio,Electricity,1
apartment_block,DH - Bio,Electricity - Bio,1
apartment_block,HP - Bio - Electricity,Electricity - Bio,1
apartment_block,Electricity,HP - Electricity,1
apartment_block,HP Central heating - Bio,Electric boiler,1
apartment_block,HP Central heating - Electric boiler,Electric boiler,1
apartment_block,HP Central heating - Gas,Electric boiler,1
apartment_block,Electric boiler - Solar,Electric boiler,1
non_residential,Electric boiler,Electricity,1
non_residential,DH,Electricity,1
non_residential,DH,Electric boiler,0.58
non_residential,Gas,Electric boiler,0.7
non_residential,Electricity - Bio,HP - Electricity,0
non_residential,DH - Bio,Electric boiler,1
non_residential,HP - Bio - Electricity,Electricity - Bio,1
non_residential,HP - Electricity,Electricity,1
non_residential,HP Central heating - Electric boiler,HP Central heating - Bio,1
non_residential,HP Central heating - Electric boiler,HP - Electricity,0.965
non_residential,HP Central heating - Electric boiler,Electric boiler,0.89
non_residential,HP Central heating - Gas,Electric boiler,1
non_residential,Electric boiler - Solar,Electric boiler,1
