year,new_house_share,new_apartment_block_share,floor_area_new_house,flood_area_new_apartment_block
2020,0.44,0.56,154,69
2021,0.43,0.57,154,69
2022,0.45,0.55,154,69
2023,0.39,0.61,154,69
2024,0.37,0.63,154,69
2025,0.45,0.55,154,69
2026,0.45,0.55,154,69
2027,0.44,0.56,154,69
2028,0.44,0.56,154,69
2029,0.44,0.56,154,69
2030,0.44,0.56,154,69
2031,0.44,0.56,154,69
2032,0.44,0.56,154,69
2033,0.43,0.57,154,69
2034,0.43,0.57,154,69
2035,0.43,0.57,154,69
2036,0.43,0.57,154,69
2037,0.43,0.57,154,69
2038,0.42,0.58,154,69
2039,0.42,0.58,154,69
2040,0.42,0.58,154,69
2041,0.42,0.58,154,69
2042,0.42,0.58,154,69
2043,0.41,0.59,154,69
2044,0.41,0.59,154,69
2045,0.41,0.59,154,69
2046,0.41,0.59,154,69
2047,0.41,0.59,154,69
2048,0.40,0.60,154,69
2049,0.40,0.60,154,69
2050,0.40,0.60,154,69
