building_category,TEK,building_category_no,start_year,total_area,Eneboliger,Småhus
house,-> TEK49,a hus,1950,51689459,39804369.0,11885090.0
house,TEK49,a hus,1963,40111752,31139401.0,8972351.0
house,TEK69,a hus,1976,40380160,32201810.0,8178350.0
house,TEK69,a hus,1986,43221866,35392847.0,7829019.0
house,TEK87,a hus,1996,22707481,17162144.0,5545337.0
house,TEK97,a hus,2006,19497955,13305075.0,6192880.0
Apartment block,-> TEK49,a leil,1950,11444245,,
Apartment block,TEK49,a leil,1963,7133096,,
Apartment block,TEK69,a leil,1976,6739001,,
Apartment block,TEK69,a leil,1986,4310185,,
Apartment block,TEK87,a leil,1996,4385626,,
Apartment block,TEK97,a leil,2006,8114649,,
Kindergarten,->1949,a bhg,1945,131242,,
Kindergarten,TEK49,a bhg,1959,126124,,
Kindergarten,TEK69,a bhg,1978,495410,,
Kindergarten,TEK87,a bhg,1992,237483,,
Kindergarten,TEK97,a bhg,2002,218507,,
Kindergarten,TEK07,a bhg,2009,66472,,
School,A ->1949,a skole,1945,1261756,,
School,B TEK49,a skole,1959,4485473,,
School,C TEK69,a skole,1978,4533828,,
School,D TEK87,a skole,1992,1541686,,
School,E TEK97,a skole,2002,1568526,,
School,F TEK07,a skole,2009,493397,,
University,A ->1949,a uni,1945,188772,,
University,B TEK49,a uni,1959,652386,,
University,C TEK69,a uni,1978,1013218,,
University,D TEK87,a uni,1992,283599,,
University,E TEK97,a uni,2002,228589,,
University,F TEK07,a uni,2009,73678,,
Office,A ->1949,a kont,1945,4777359,,
Office,B TEK49,a kont,1959,7655078,,
Office,C TEK69,a kont,1978,9246796,,
Office,D TEK87,a kont,1992,3311744,,
Office,E TEK97,a kont,2002,1473274,,
Office,F TEK07,a kont,2009,305444,,
Retail,A ->1949,a forr,1945,2350025,,
Retail,B TEK49,a forr,1959,8121547,,
Retail,C TEK69,a forr,1978,12613542,,
Retail,D TEK87,a forr,1992,3530526,,
Retail,E TEK97,a forr,2002,2845696,,
Retail,F TEK07,a forr,2009,917221,,
Hotel,A ->1949,a hotell,1945,524798,,
Hotel,B TEK49,a hotell,1959,1505590,,
Hotel,C TEK69,a hotell,1978,2306123,,
Hotel,D TEK87,a hotell,1992,668612,,
Hotel,E TEK97,a hotell,2002,542294,,
Hotel,F TEK07,a hotell,2009,167100,,
Hospital,A ->1949,a shus,1945,846114,,
Hospital,B TEK49,a shus,1959,1085198,,
Hospital,C TEK69,a shus,1978,1184907,,
Hospital,D TEK87,a shus,1992,644138,,
Hospital,E TEK97,a shus,2002,754440,,
Hospital,F TEK07,a shus,2009,238202,,
Nursinghome,A ->1949,a shjem,1945,222958,,
Nursinghome,B TEK49,a shjem,1959,638790,,
Nursinghome,C TEK69,a shjem,1978,1697486,,
Nursinghome,D TEK87,a shjem,1992,924669,,
Nursinghome,E TEK97,a shjem,2002,1288154,,
Nursinghome,F TEK07,a shjem,2009,443540,,
Culture,A ->1949,a kult,1945,1341269,,
Culture,B TEK49,a kult,1959,483156,,
Culture,C TEK69,a kult,1978,555517,,
Culture,D TEK87,a kult,1992,269785,,
Culture,E TEK97,a kult,2002,193441,,
Culture,F TEK07,a kult,2009,56170,,
Sports,A ->1949,a idr,1945,43349,,
Sports,B TEK49,a idr,1959,409763,,
Sports,C TEK69,a idr,1978,1201106,,
Sports,D TEK87,a idr,1992,352607,,
Sports,E TEK97,a idr,2002,241690,,
Sports,F TEK07,a idr,2009,74808,,
Storage repairs,A ->1949,a ind,1945,3929584,,
Storage repairs,B TEK49,a ind,1959,5521722,,
Storage repairs,C TEK69,a ind,1978,12452370,,
Storage repairs,D TEK87,a ind,1992,5016909,,
Storage repairs,E TEK97,a ind,2002,1992111,,
Storage repairs,F TEK07,a ind,2009,415787,,
