year,2010,2011,2012,2013,2014
house,1807612,2061260,,,
apartment_block,532779,598834,,,
kindergarten,97574,90644,65847,62022,79992
school,281884,206298,224638,295082,256470
university,112747,49205,44100,34766,84340
office,443334,355103,649466,531348,320478
retail,555903,586000,640545,636006,687111
hotel,166371,	157465,133144,69857,174050
hospital,67455,33747,9477,30942,10821
nursing_home,69803,60648,47932,84639,90631
culture,43646,72625,73971,50951,47282
sports,137744,146106,173818,185307,119111
storage_repairs,33755,33755,33755,33755,33755

