"year","Andel nye småhus","Andel nye leiligheter","Areal nye småhus","Areal nye leiligheter"
"2010","0.6131112606550","0.3868887393450","175","75"
"2011","0.6284545545246","0.3715454454754","175","75"
"2012","0.5320363954772","0.4679636045228","175","75"
"2013","0.4949466591802","0.5050533408198","175","75"
"2014","0.5045551601423","0.4954448398577","175","75"
"2015","0.5070547677435","0.4929452322565","175","75"
"2016","0.5167721303667","0.4832278696333","175","75"
"2017","0.4836327914567","0.5163672085433","175","75"
"2018","0.4385884788698","0.5614115211302","175","75"
"2019","0.4550000000000","0.5450000000000","175","75"
"2020","0.4532258064516","0.5467741935484","175","75"
"2021","0.4514516129032","0.5485483870968","175","75"
"2022","0.4496774193548","0.5503225806452","175","75"
"2023","0.4479032258065","0.5520967741935","175","75"
"2024","0.4461290322581","0.5538709677419","175","75"
"2025","0.4443548387097","0.5556451612903","175","75"
"2026","0.4425806451613","0.5574193548387","175","75"
"2027","0.4408064516129","0.5591935483871","175","75"
"2028","0.4390322580645","0.5609677419355","175","75"
"2029","0.4372580645161","0.5627419354839","175","75"
"2030","0.4354838709677","0.5645161290323","175","75"
"2031","0.4337096774194","0.5662903225806","175","75"
"2032","0.4319354838710","0.5680645161290","175","75"
"2033","0.4301612903226","0.5698387096774","175","75"
"2034","0.4283870967742","0.5716129032258","175","75"
"2035","0.4266129032258","0.5733870967742","175","75"
"2036","0.4248387096774","0.5751612903226","175","75"
"2037","0.4230645161290","0.5769354838710","175","75"
"2038","0.4212903225806","0.5787096774194","175","75"
"2039","0.4195161290323","0.5804838709677","175","75"
"2040","0.4177419354839","0.5822580645161","175","75"
"2041","0.4159677419355","0.5840322580645","175","75"
"2042","0.4141935483871","0.5858064516129","175","75"
"2043","0.4124193548387","0.5875806451613","175","75"
"2044","0.4106451612903","0.5893548387097","175","75"
"2045","0.4088709677419","0.5911290322581","175","75"
"2046","0.4070967741935","0.5929032258065","175","75"
"2047","0.4053225806452","0.5946774193548","175","75"
"2048","0.4035483870968","0.5964516129032","175","75"
"2049","0.4017741935484","0.5982258064516","175","75"
"2050","0.4000000000000","0.6000000000000","175","75"
